r,t,e,m,y,AnnualTechnologyEmissionByMode
"Atlantis_00A","NG_IMP","CH4",1,2035,0
"Atlantis_00A","NG_IMP","CH4",1,2036,0
"Atlantis_00A","NG_IMP","CH4",1,2037,0
"Atlantis_00A","NG_IMP","CH4",1,2038,0
"Atlantis_00A","NG_IMP","CH4",1,2039,0
"Atlantis_00A","NG_IMP","CH4",1,2040,0
"Atlantis_00A","NG_IMP","CH4",1,2041,0
"Atlantis_00A","NG_IMP","CH4",1,2042,0
"Atlantis_00A","NG_IMP","CH4",1,2043,0
"Atlantis_00A","NG_IMP","CH4",1,2044,0
"Atlantis_00A","NG_IMP","CH4",1,2045,0
"Atlantis_00A","NG_IMP","CH4",1,2046,0
"Atlantis_00A","NG_IMP","CH4",1,2047,0
"Atlantis_00A","NG_IMP","CH4",1,2048,0
"Atlantis_00A","NG_IMP","CH4",1,2049,0
"Atlantis_00A","NG_IMP","CH4",1,2050,0
"Atlantis_00A","NG_IMP","CH4",1,2051,0
"Atlantis_00A","NG_IMP","CH4",1,2052,0
"Atlantis_00A","NG_IMP","CH4",1,2053,0
"Atlantis_00A","NG_IMP","CH4",1,2054,0
"Atlantis_00A","NG_IMP","CH4",1,2055,0
"Atlantis_00A","NG_IND","CO2",1,2014,0
"Atlantis_00A","NG_IND","CO2",1,2015,0
"Atlantis_00A","NG_IND","CO2",1,2016,0
"Atlantis_00A","NG_IND","CO2",1,2017,0
"Atlantis_00A","NG_IND","CO2",1,2018,0
"Atlantis_00A","NG_IND","CO2",1,2019,0
"Atlantis_00A","NG_IND","CO2",1,2020,0
"Atlantis_00A","NG_IND","CO2",1,2021,0
"Atlantis_00A","NG_IND","CO2",1,2022,0
"Atlantis_00A","NG_IND","CO2",1,2023,0
"Atlantis_00A","NG_IND","CO2",1,2024,0
"Atlantis_00A","NG_IND","CO2",1,2025,0
"Atlantis_00A","NG_IND","CO2",1,2026,0
"Atlantis_00A","NG_IND","CO2",1,2027,0
"Atlantis_00A","NG_IND","CO2",1,2028,0
"Atlantis_00A","NG_IND","CO2",1,2029,0
"Atlantis_00A","NG_IND","CO2",1,2030,0
"Atlantis_00A","NG_IND","CO2",1,2031,0
"Atlantis_00A","NG_IND","CO2",1,2032,0
"Atlantis_00A","NG_IND","CO2",1,2033,0
"Atlantis_00A","NG_IND","CO2",1,2034,0
"Atlantis_00A","NG_IND","CO2",1,2035,0
"Atlantis_00A","NG_IND","CO2",1,2036,0
"Atlantis_00A","NG_IND","CO2",1,2037,0
"Atlantis_00A","NG_IND","CO2",1,2038,0
"Atlantis_00A","NG_IND","CO2",1,2039,0
"Atlantis_00A","NG_IND","CO2",1,2040,0
"Atlantis_00A","NG_IND","CO2",1,2041,0
"Atlantis_00A","NG_IND","CO2",1,2042,0
"Atlantis_00A","NG_IND","CO2",1,2043,0
"Atlantis_00A","NG_IND","CO2",1,2044,0
"Atlantis_00A","NG_IND","CO2",1,2045,0
"Atlantis_00A","NG_IND","CO2",1,2046,0
"Atlantis_00A","NG_IND","CO2",1,2047,0
"Atlantis_00A","NG_IND","CO2",1,2048,0
"Atlantis_00A","NG_IND","CO2",1,2049,0
"Atlantis_00A","NG_IND","CO2",1,2050,0
"Atlantis_00A","NG_IND","CO2",1,2051,0
"Atlantis_00A","NG_IND","CO2",1,2052,0
"Atlantis_00A","NG_IND","CO2",1,2053,0
"Atlantis_00A","NG_IND","CO2",1,2054,0
"Atlantis_00A","NG_IND","CO2",1,2055,0
"Atlantis_00A","NG_IND","CH4",1,2014,0
"Atlantis_00A","NG_IND","CH4",1,2015,0
"Atlantis_00A","NG_IND","CH4",1,2016,0
"Atlantis_00A","NG_IND","CH4",1,2017,0
"Atlantis_00A","NG_IND","CH4",1,2018,0
"Atlantis_00A","NG_IND","CH4",1,2019,0
"Atlantis_00A","NG_IND","CH4",1,2020,0
"Atlantis_00A","NG_IND","CH4",1,2021,0
"Atlantis_00A","NG_IND","CH4",1,2022,0
"Atlantis_00A","NG_IND","CH4",1,2023,0
"Atlantis_00A","NG_IND","CH4",1,2024,0
"Atlantis_00A","NG_IND","CH4",1,2025,0
"Atlantis_00A","NG_IND","CH4",1,2026,0
"Atlantis_00A","NG_IND","CH4",1,2027,0
"Atlantis_00A","NG_IND","CH4",1,2028,0
"Atlantis_00A","NG_IND","CH4",1,2029,0
"Atlantis_00A","NG_IND","CH4",1,2030,0
"Atlantis_00A","NG_IND","CH4",1,2031,0
"Atlantis_00A","NG_IND","CH4",1,2032,0
"Atlantis_00A","NG_IND","CH4",1,2033,0
"Atlantis_00A","NG_IND","CH4",1,2034,0
"Atlantis_00A","NG_IND","CH4",1,2035,0
"Atlantis_00A","NG_IND","CH4",1,2036,0
"Atlantis_00A","NG_IND","CH4",1,2037,0
"Atlantis_00A","NG_IND","CH4",1,2038,0
"Atlantis_00A","NG_IND","CH4",1,2039,0
"Atlantis_00A","NG_IND","CH4",1,2040,0
"Atlantis_00A","NG_IND","CH4",1,2041,0
"Atlantis_00A","NG_IND","CH4",1,2042,0
"Atlantis_00A","NG_IND","CH4",1,2043,0
"Atlantis_00A","NG_IND","CH4",1,2044,0
"Atlantis_00A","NG_IND","CH4",1,2045,0
"Atlantis_00A","NG_IND","CH4",1,2046,0
"Atlantis_00A","NG_IND","CH4",1,2047,0
"Atlantis_00A","NG_IND","CH4",1,2048,0
"Atlantis_00A","NG_IND","CH4",1,2049,0
"Atlantis_00A","NG_IND","CH4",1,2050,0
"Atlantis_00A","NG_IND","CH4",1,2051,0
"Atlantis_00A","NG_IND","CH4",1,2052,0
"Atlantis_00A","NG_IND","CH4",1,2053,0
"Atlantis_00A","NG_IND","CH4",1,2054,0
"Atlantis_00A","NG_IND","CH4",1,2055,0
"Atlantis_00A","NG_OTH","CO2",1,2014,0
"Atlantis_00A","NG_OTH","CO2",1,2015,0
"Atlantis_00A","NG_OTH","CO2",1,2016,0
"Atlantis_00A","NG_OTH","CO2",1,2017,0
"Atlantis_00A","NG_OTH","CO2",1,2018,0
"Atlantis_00A","NG_OTH","CO2",1,2019,0
"Atlantis_00A","NG_OTH","CO2",1,2020,0
"Atlantis_00A","NG_OTH","CO2",1,2021,0
"Atlantis_00A","NG_OTH","CO2",1,2022,0
"Atlantis_00A","NG_OTH","CO2",1,2023,0
"Atlantis_00A","NG_OTH","CO2",1,2024,0
"Atlantis_00A","NG_OTH","CO2",1,2025,0
"Atlantis_00A","NG_OTH","CO2",1,2026,0
"Atlantis_00A","NG_OTH","CO2",1,2027,0
"Atlantis_00A","NG_OTH","CO2",1,2028,0
"Atlantis_00A","NG_OTH","CO2",1,2029,0
"Atlantis_00A","NG_OTH","CO2",1,2030,0
"Atlantis_00A","NG_OTH","CO2",1,2031,0
"Atlantis_00A","NG_OTH","CO2",1,2032,0
"Atlantis_00A","NG_OTH","CO2",1,2033,0
"Atlantis_00A","NG_OTH","CO2",1,2034,0
"Atlantis_00A","NG_OTH","CO2",1,2035,0
"Atlantis_00A","NG_OTH","CO2",1,2036,0
"Atlantis_00A","NG_OTH","CO2",1,2037,0
"Atlantis_00A","NG_OTH","CO2",1,2038,0
"Atlantis_00A","NG_OTH","CO2",1,2039,0
"Atlantis_00A","NG_OTH","CO2",1,2040,0
"Atlantis_00A","NG_OTH","CO2",1,2041,0
"Atlantis_00A","NG_OTH","CO2",1,2042,0
"Atlantis_00A","NG_OTH","CO2",1,2043,0
"Atlantis_00A","NG_OTH","CO2",1,2044,0
"Atlantis_00A","NG_OTH","CO2",1,2045,0
"Atlantis_00A","NG_OTH","CO2",1,2046,0
"Atlantis_00A","NG_OTH","CO2",1,2047,0
"Atlantis_00A","NG_OTH","CO2",1,2048,0
"Atlantis_00A","NG_OTH","CO2",1,2049,0
"Atlantis_00A","NG_OTH","CO2",1,2050,0
"Atlantis_00A","NG_OTH","CO2",1,2051,0
"Atlantis_00A","NG_OTH","CO2",1,2052,0
"Atlantis_00A","NG_OTH","CO2",1,2053,0
"Atlantis_00A","NG_OTH","CO2",1,2054,0
"Atlantis_00A","NG_OTH","CO2",1,2055,0
"Atlantis_00A","NG_OTH","CH4",1,2014,0
"Atlantis_00A","NG_OTH","CH4",1,2015,0
"Atlantis_00A","NG_OTH","CH4",1,2016,0
"Atlantis_00A","NG_OTH","CH4",1,2017,0
"Atlantis_00A","NG_OTH","CH4",1,2018,0
"Atlantis_00A","NG_OTH","CH4",1,2019,0
"Atlantis_00A","NG_OTH","CH4",1,2020,0
"Atlantis_00A","NG_OTH","CH4",1,2021,0
"Atlantis_00A","NG_OTH","CH4",1,2022,0
"Atlantis_00A","NG_OTH","CH4",1,2023,0
"Atlantis_00A","NG_OTH","CH4",1,2024,0
"Atlantis_00A","NG_OTH","CH4",1,2025,0
"Atlantis_00A","NG_OTH","CH4",1,2026,0
"Atlantis_00A","NG_OTH","CH4",1,2027,0
"Atlantis_00A","NG_OTH","CH4",1,2028,0
"Atlantis_00A","NG_OTH","CH4",1,2029,0
"Atlantis_00A","NG_OTH","CH4",1,2030,0
"Atlantis_00A","NG_OTH","CH4",1,2031,0
"Atlantis_00A","NG_OTH","CH4",1,2032,0
"Atlantis_00A","NG_OTH","CH4",1,2033,0
"Atlantis_00A","NG_OTH","CH4",1,2034,0
"Atlantis_00A","NG_OTH","CH4",1,2035,0
"Atlantis_00A","NG_OTH","CH4",1,2036,0
"Atlantis_00A","NG_OTH","CH4",1,2037,0
"Atlantis_00A","NG_OTH","CH4",1,2038,0
"Atlantis_00A","NG_OTH","CH4",1,2039,0
"Atlantis_00A","NG_OTH","CH4",1,2040,0
"Atlantis_00A","NG_OTH","CH4",1,2041,0
"Atlantis_00A","NG_OTH","CH4",1,2042,0
"Atlantis_00A","NG_OTH","CH4",1,2043,0
"Atlantis_00A","NG_OTH","CH4",1,2044,0
"Atlantis_00A","NG_OTH","CH4",1,2045,0
"Atlantis_00A","NG_OTH","CH4",1,2046,0
"Atlantis_00A","NG_OTH","CH4",1,2047,0
"Atlantis_00A","NG_OTH","CH4",1,2048,0
"Atlantis_00A","NG_OTH","CH4",1,2049,0
"Atlantis_00A","NG_OTH","CH4",1,2050,0
"Atlantis_00A","NG_OTH","CH4",1,2051,0
"Atlantis_00A","NG_OTH","CH4",1,2052,0
"Atlantis_00A","NG_OTH","CH4",1,2053,0
"Atlantis_00A","NG_OTH","CH4",1,2054,0
"Atlantis_00A","NG_OTH","CH4",1,2055,0
"Atlantis_00A","NG_RES","CO2",1,2014,0
"Atlantis_00A","NG_RES","CO2",1,2015,0
"Atlantis_00A","NG_RES","CO2",1,2016,0
"Atlantis_00A","NG_RES","CO2",1,2017,0
"Atlantis_00A","NG_RES","CO2",1,2018,0
"Atlantis_00A","NG_RES","CO2",1,2019,0
"Atlantis_00A","NG_RES","CO2",1,2020,0
"Atlantis_00A","NG_RES","CO2",1,2021,0
"Atlantis_00A","NG_RES","CO2",1,2022,0
"Atlantis_00A","NG_RES","CO2",1,2023,0
"Atlantis_00A","NG_RES","CO2",1,2024,0
"Atlantis_00A","NG_RES","CO2",1,2025,0
"Atlantis_00A","NG_RES","CO2",1,2026,0
"Atlantis_00A","NG_RES","CO2",1,2027,0
"Atlantis_00A","NG_RES","CO2",1,2028,0
"Atlantis_00A","NG_RES","CO2",1,2029,0
"Atlantis_00A","NG_RES","CO2",1,2030,0
"Atlantis_00A","NG_RES","CO2",1,2031,0
"Atlantis_00A","NG_RES","CO2",1,2032,0
"Atlantis_00A","NG_RES","CO2",1,2033,0
"Atlantis_00A","NG_RES","CO2",1,2034,0
"Atlantis_00A","NG_RES","CO2",1,2035,0
"Atlantis_00A","NG_RES","CO2",1,2036,0
"Atlantis_00A","NG_RES","CO2",1,2037,0
"Atlantis_00A","NG_RES","CO2",1,2038,0
"Atlantis_00A","NG_RES","CO2",1,2039,0
"Atlantis_00A","NG_RES","CO2",1,2040,0
"Atlantis_00A","NG_RES","CO2",1,2041,0
"Atlantis_00A","NG_RES","CO2",1,2042,0
"Atlantis_00A","NG_RES","CO2",1,2043,0
"Atlantis_00A","NG_RES","CO2",1,2044,0
"Atlantis_00A","NG_RES","CO2",1,2045,0
"Atlantis_00A","NG_RES","CO2",1,2046,0
"Atlantis_00A","NG_RES","CO2",1,2047,0
"Atlantis_00A","NG_RES","CO2",1,2048,0
"Atlantis_00A","NG_RES","CO2",1,2049,0
"Atlantis_00A","NG_RES","CO2",1,2050,0
"Atlantis_00A","NG_RES","CO2",1,2051,0
"Atlantis_00A","NG_RES","CO2",1,2052,0
"Atlantis_00A","NG_RES","CO2",1,2053,0
"Atlantis_00A","NG_RES","CO2",1,2054,0
"Atlantis_00A","NG_RES","CO2",1,2055,0
"Atlantis_00A","NG_RES","CH4",1,2014,0
"Atlantis_00A","NG_RES","CH4",1,2015,0
"Atlantis_00A","NG_RES","CH4",1,2016,0
"Atlantis_00A","NG_RES","CH4",1,2017,0
"Atlantis_00A","NG_RES","CH4",1,2018,0
"Atlantis_00A","NG_RES","CH4",1,2019,0
"Atlantis_00A","NG_RES","CH4",1,2020,0
"Atlantis_00A","NG_RES","CH4",1,2021,0
"Atlantis_00A","NG_RES","CH4",1,2022,0
"Atlantis_00A","NG_RES","CH4",1,2023,0
"Atlantis_00A","NG_RES","CH4",1,2024,0
"Atlantis_00A","NG_RES","CH4",1,2025,0
"Atlantis_00A","NG_RES","CH4",1,2026,0
"Atlantis_00A","NG_RES","CH4",1,2027,0
"Atlantis_00A","NG_RES","CH4",1,2028,0
"Atlantis_00A","NG_RES","CH4",1,2029,0
"Atlantis_00A","NG_RES","CH4",1,2030,0
"Atlantis_00A","NG_RES","CH4",1,2031,0
"Atlantis_00A","NG_RES","CH4",1,2032,0
"Atlantis_00A","NG_RES","CH4",1,2033,0
"Atlantis_00A","NG_RES","CH4",1,2034,0
"Atlantis_00A","NG_RES","CH4",1,2035,0
"Atlantis_00A","NG_RES","CH4",1,2036,0
"Atlantis_00A","NG_RES","CH4",1,2037,0
"Atlantis_00A","NG_RES","CH4",1,2038,0
"Atlantis_00A","NG_RES","CH4",1,2039,0
"Atlantis_00A","NG_RES","CH4",1,2040,0
"Atlantis_00A","NG_RES","CH4",1,2041,0
"Atlantis_00A","NG_RES","CH4",1,2042,0
"Atlantis_00A","NG_RES","CH4",1,2043,0
"Atlantis_00A","NG_RES","CH4",1,2044,0
"Atlantis_00A","NG_RES","CH4",1,2045,0
"Atlantis_00A","NG_RES","CH4",1,2046,0
"Atlantis_00A","NG_RES","CH4",1,2047,0
"Atlantis_00A","NG_RES","CH4",1,2048,0
"Atlantis_00A","NG_RES","CH4",1,2049,0
"Atlantis_00A","NG_RES","CH4",1,2050,0
"Atlantis_00A","NG_RES","CH4",1,2051,0
"Atlantis_00A","NG_RES","CH4",1,2052,0
"Atlantis_00A","NG_RES","CH4",1,2053,0
"Atlantis_00A","NG_RES","CH4",1,2054,0
"Atlantis_00A","NG_RES","CH4",1,2055,0
"Atlantis_00A","NG_SER","CO2",1,2014,0
"Atlantis_00A","NG_SER","CO2",1,2015,0
"Atlantis_00A","NG_SER","CO2",1,2016,0
"Atlantis_00A","NG_SER","CO2",1,2017,0
"Atlantis_00A","NG_SER","CO2",1,2018,0
"Atlantis_00A","NG_SER","CO2",1,2019,0
"Atlantis_00A","NG_SER","CO2",1,2020,0
"Atlantis_00A","NG_SER","CO2",1,2021,0
"Atlantis_00A","NG_SER","CO2",1,2022,0
"Atlantis_00A","NG_SER","CO2",1,2023,0
"Atlantis_00A","NG_SER","CO2",1,2024,0
"Atlantis_00A","NG_SER","CO2",1,2025,0
"Atlantis_00A","NG_SER","CO2",1,2026,0
"Atlantis_00A","NG_SER","CO2",1,2027,0
"Atlantis_00A","NG_SER","CO2",1,2028,0
"Atlantis_00A","NG_SER","CO2",1,2029,0
"Atlantis_00A","NG_SER","CO2",1,2030,0
"Atlantis_00A","NG_SER","CO2",1,2031,0
"Atlantis_00A","NG_SER","CO2",1,2032,0
"Atlantis_00A","NG_SER","CO2",1,2033,0
"Atlantis_00A","NG_SER","CO2",1,2034,0
"Atlantis_00A","NG_SER","CO2",1,2035,0
"Atlantis_00A","NG_SER","CO2",1,2036,0
"Atlantis_00A","NG_SER","CO2",1,2037,0
"Atlantis_00A","NG_SER","CO2",1,2038,0
"Atlantis_00A","NG_SER","CO2",1,2039,0
"Atlantis_00A","NG_SER","CO2",1,2040,0
"Atlantis_00A","NG_SER","CO2",1,2041,0
"Atlantis_00A","NG_SER","CO2",1,2042,0
"Atlantis_00A","NG_SER","CO2",1,2043,0
"Atlantis_00A","NG_SER","CO2",1,2044,0
"Atlantis_00A","NG_SER","CO2",1,2045,0
"Atlantis_00A","NG_SER","CO2",1,2046,0
"Atlantis_00A","NG_SER","CO2",1,2047,0
"Atlantis_00A","NG_SER","CO2",1,2048,0
"Atlantis_00A","NG_SER","CO2",1,2049,0
"Atlantis_00A","NG_SER","CO2",1,2050,0
"Atlantis_00A","NG_SER","CO2",1,2051,0
"Atlantis_00A","NG_SER","CO2",1,2052,0
"Atlantis_00A","NG_SER","CO2",1,2053,0
"Atlantis_00A","NG_SER","CO2",1,2054,0
"Atlantis_00A","NG_SER","CO2",1,2055,0
"Atlantis_00A","NG_SER","CH4",1,2014,0
"Atlantis_00A","NG_SER","CH4",1,2015,0
"Atlantis_00A","NG_SER","CH4",1,2016,0
"Atlantis_00A","NG_SER","CH4",1,2017,0
"Atlantis_00A","NG_SER","CH4",1,2018,0
"Atlantis_00A","NG_SER","CH4",1,2019,0
"Atlantis_00A","NG_SER","CH4",1,2020,0
"Atlantis_00A","NG_SER","CH4",1,2021,0
"Atlantis_00A","NG_SER","CH4",1,2022,0
"Atlantis_00A","NG_SER","CH4",1,2023,0
"Atlantis_00A","NG_SER","CH4",1,2024,0
"Atlantis_00A","NG_SER","CH4",1,2025,0
"Atlantis_00A","NG_SER","CH4",1,2026,0
"Atlantis_00A","NG_SER","CH4",1,2027,0
"Atlantis_00A","NG_SER","CH4",1,2028,0
"Atlantis_00A","NG_SER","CH4",1,2029,0
"Atlantis_00A","NG_SER","CH4",1,2030,0
"Atlantis_00A","NG_SER","CH4",1,2031,0
"Atlantis_00A","NG_SER","CH4",1,2032,0
"Atlantis_00A","NG_SER","CH4",1,2033,0
"Atlantis_00A","NG_SER","CH4",1,2034,0
"Atlantis_00A","NG_SER","CH4",1,2035,0
"Atlantis_00A","NG_SER","CH4",1,2036,0
"Atlantis_00A","NG_SER","CH4",1,2037,0
"Atlantis_00A","NG_SER","CH4",1,2038,0
"Atlantis_00A","NG_SER","CH4",1,2039,0
"Atlantis_00A","NG_SER","CH4",1,2040,0
"Atlantis_00A","NG_SER","CH4",1,2041,0
"Atlantis_00A","NG_SER","CH4",1,2042,0
"Atlantis_00A","NG_SER","CH4",1,2043,0
"Atlantis_00A","NG_SER","CH4",1,2044,0
"Atlantis_00A","NG_SER","CH4",1,2045,0
"Atlantis_00A","NG_SER","CH4",1,2046,0
"Atlantis_00A","NG_SER","CH4",1,2047,0
"Atlantis_00A","NG_SER","CH4",1,2048,0
"Atlantis_00A","NG_SER","CH4",1,2049,0
"Atlantis_00A","NG_SER","CH4",1,2050,0
"Atlantis_00A","NG_SER","CH4",1,2051,0
"Atlantis_00A","NG_SER","CH4",1,2052,0
"Atlantis_00A","NG_SER","CH4",1,2053,0
"Atlantis_00A","NG_SER","CH4",1,2054,0
"Atlantis_00A","NG_SER","CH4",1,2055,0
"Atlantis_00A","NG_TRA","CO2",1,2014,0
"Atlantis_00A","NG_TRA","CO2",1,2015,0
"Atlantis_00A","NG_TRA","CO2",1,2016,0
"Atlantis_00A","NG_TRA","CO2",1,2017,0
"Atlantis_00A","NG_TRA","CO2",1,2018,0
"Atlantis_00A","NG_TRA","CO2",1,2019,0
"Atlantis_00A","NG_TRA","CO2",1,2020,0
"Atlantis_00A","NG_TRA","CO2",1,2021,0
"Atlantis_00A","NG_TRA","CO2",1,2022,0
"Atlantis_00A","NG_TRA","CO2",1,2023,0
"Atlantis_00A","NG_TRA","CO2",1,2024,0
"Atlantis_00A","NG_TRA","CO2",1,2025,0
"Atlantis_00A","NG_TRA","CO2",1,2026,0
"Atlantis_00A","NG_TRA","CO2",1,2027,0
"Atlantis_00A","NG_TRA","CO2",1,2028,0
"Atlantis_00A","NG_TRA","CO2",1,2029,0
"Atlantis_00A","NG_TRA","CO2",1,2030,0
"Atlantis_00A","NG_TRA","CO2",1,2031,0
"Atlantis_00A","NG_TRA","CO2",1,2032,0
"Atlantis_00A","NG_TRA","CO2",1,2033,0
"Atlantis_00A","NG_TRA","CO2",1,2034,0
"Atlantis_00A","NG_TRA","CO2",1,2035,0
"Atlantis_00A","NG_TRA","CO2",1,2036,0
"Atlantis_00A","NG_TRA","CO2",1,2037,0
"Atlantis_00A","NG_TRA","CO2",1,2038,0
"Atlantis_00A","NG_TRA","CO2",1,2039,0
"Atlantis_00A","NG_TRA","CO2",1,2040,0
"Atlantis_00A","NG_TRA","CO2",1,2041,0
"Atlantis_00A","NG_TRA","CO2",1,2042,0
"Atlantis_00A","NG_TRA","CO2",1,2043,0
"Atlantis_00A","NG_TRA","CO2",1,2044,0
"Atlantis_00A","NG_TRA","CO2",1,2045,0
"Atlantis_00A","NG_TRA","CO2",1,2046,0
"Atlantis_00A","NG_TRA","CO2",1,2047,0
"Atlantis_00A","NG_TRA","CO2",1,2048,0
"Atlantis_00A","NG_TRA","CO2",1,2049,0
"Atlantis_00A","NG_TRA","CO2",1,2050,0
"Atlantis_00A","NG_TRA","CO2",1,2051,0
"Atlantis_00A","NG_TRA","CO2",1,2052,0
"Atlantis_00A","NG_TRA","CO2",1,2053,0
"Atlantis_00A","NG_TRA","CO2",1,2054,0
"Atlantis_00A","NG_TRA","CO2",1,2055,0
"Atlantis_00A","NG_TRA","CH4",1,2014,0
"Atlantis_00A","NG_TRA","CH4",1,2015,0
"Atlantis_00A","NG_TRA","CH4",1,2016,0
"Atlantis_00A","NG_TRA","CH4",1,2017,0
"Atlantis_00A","NG_TRA","CH4",1,2018,0
"Atlantis_00A","NG_TRA","CH4",1,2019,0
"Atlantis_00A","NG_TRA","CH4",1,2020,0
"Atlantis_00A","NG_TRA","CH4",1,2021,0
"Atlantis_00A","NG_TRA","CH4",1,2022,0
"Atlantis_00A","NG_TRA","CH4",1,2023,0
"Atlantis_00A","NG_TRA","CH4",1,2024,0
"Atlantis_00A","NG_TRA","CH4",1,2025,0
"Atlantis_00A","NG_TRA","CH4",1,2026,0
"Atlantis_00A","NG_TRA","CH4",1,2027,0
"Atlantis_00A","NG_TRA","CH4",1,2028,0
"Atlantis_00A","NG_TRA","CH4",1,2029,0
"Atlantis_00A","NG_TRA","CH4",1,2030,0
"Atlantis_00A","NG_TRA","CH4",1,2031,0
"Atlantis_00A","NG_TRA","CH4",1,2032,0
"Atlantis_00A","NG_TRA","CH4",1,2033,0
"Atlantis_00A","NG_TRA","CH4",1,2034,0
"Atlantis_00A","NG_TRA","CH4",1,2035,0
"Atlantis_00A","NG_TRA","CH4",1,2036,0
"Atlantis_00A","NG_TRA","CH4",1,2037,0
"Atlantis_00A","NG_TRA","CH4",1,2038,0
"Atlantis_00A","NG_TRA","CH4",1,2039,0
"Atlantis_00A","NG_TRA","CH4",1,2040,0
"Atlantis_00A","NG_TRA","CH4",1,2041,0
"Atlantis_00A","NG_TRA","CH4",1,2042,0
"Atlantis_00A","NG_TRA","CH4",1,2043,0
"Atlantis_00A","NG_TRA","CH4",1,2044,0
"Atlantis_00A","NG_TRA","CH4",1,2045,0
"Atlantis_00A","NG_TRA","CH4",1,2046,0
"Atlantis_00A","NG_TRA","CH4",1,2047,0
"Atlantis_00A","NG_TRA","CH4",1,2048,0
"Atlantis_00A","NG_TRA","CH4",1,2049,0
"Atlantis_00A","NG_TRA","CH4",1,2050,0
"Atlantis_00A","NG_TRA","CH4",1,2051,0
"Atlantis_00A","NG_TRA","CH4",1,2052,0
"Atlantis_00A","NG_TRA","CH4",1,2053,0
"Atlantis_00A","NG_TRA","CH4",1,2054,0
"Atlantis_00A","NG_TRA","CH4",1,2055,0
"Atlantis_00A","NGCC","CO2",1,2014,0
"Atlantis_00A","NGCC","CO2",1,2015,0
"Atlantis_00A","NGCC","CO2",1,2016,0
"Atlantis_00A","NGCC","CO2",1,2017,0
"Atlantis_00A","NGCC","CO2",1,2018,0
"Atlantis_00A","NGCC","CO2",1,2019,0
"Atlantis_00A","NGCC","CO2",1,2020,0
"Atlantis_00A","NGCC","CO2",1,2021,0
"Atlantis_00A","NGCC","CO2",1,2022,0
"Atlantis_00A","NGCC","CO2",1,2023,0
"Atlantis_00A","NGCC","CO2",1,2024,0
"Atlantis_00A","NGCC","CO2",1,2025,0
"Atlantis_00A","NGCC","CO2",1,2026,0
"Atlantis_00A","NGCC","CO2",1,2027,0
"Atlantis_00A","NGCC","CO2",1,2028,0
"Atlantis_00A","NGCC","CO2",1,2029,0
"Atlantis_00A","NGCC","CO2",1,2030,0
"Atlantis_00A","NGCC","CO2",1,2031,0
"Atlantis_00A","NGCC","CO2",1,2032,0
"Atlantis_00A","NGCC","CO2",1,2033,0
"Atlantis_00A","NGCC","CO2",1,2034,0
"Atlantis_00A","NGCC","CO2",1,2035,0
"Atlantis_00A","NGCC","CO2",1,2036,0
"Atlantis_00A","NGCC","CO2",1,2037,0
"Atlantis_00A","NGCC","CO2",1,2038,0
"Atlantis_00A","NGCC","CO2",1,2039,0
"Atlantis_00A","NGCC","CO2",1,2040,0
"Atlantis_00A","NGCC","CO2",1,2041,0
"Atlantis_00A","NGCC","CO2",1,2042,0
"Atlantis_00A","NGCC","CO2",1,2043,0
"Atlantis_00A","NGCC","CO2",1,2044,0
"Atlantis_00A","NGCC","CO2",1,2045,0
"Atlantis_00A","NGCC","CO2",1,2046,0
"Atlantis_00A","NGCC","CO2",1,2047,0
"Atlantis_00A","NGCC","CO2",1,2048,0
"Atlantis_00A","NGCC","CO2",1,2049,0
"Atlantis_00A","NGCC","CO2",1,2050,0
"Atlantis_00A","NGCC","CO2",1,2051,0
"Atlantis_00A","NGCC","CO2",1,2052,0
"Atlantis_00A","NGCC","CO2",1,2053,0
"Atlantis_00A","NGCC","CO2",1,2054,0
"Atlantis_00A","NGCC","CO2",1,2055,0
"Atlantis_00A","NGCC","CH4",1,2014,0
"Atlantis_00A","NGCC","CH4",1,2015,0
"Atlantis_00A","NGCC","CH4",1,2016,0
"Atlantis_00A","NGCC","CH4",1,2017,0
"Atlantis_00A","NGCC","CH4",1,2018,0
"Atlantis_00A","NGCC","CH4",1,2019,0
"Atlantis_00A","NGCC","CH4",1,2020,0
"Atlantis_00A","NGCC","CH4",1,2021,0
"Atlantis_00A","NGCC","CH4",1,2022,0
"Atlantis_00A","NGCC","CH4",1,2023,0
"Atlantis_00A","NGCC","CH4",1,2024,0
"Atlantis_00A","NGCC","CH4",1,2025,0
"Atlantis_00A","NGCC","CH4",1,2026,0
"Atlantis_00A","NGCC","CH4",1,2027,0
"Atlantis_00A","NGCC","CH4",1,2028,0
"Atlantis_00A","NGCC","CH4",1,2029,0
"Atlantis_00A","NGCC","CH4",1,2030,0
"Atlantis_00A","NGCC","CH4",1,2031,0
"Atlantis_00A","NGCC","CH4",1,2032,0
"Atlantis_00A","NGCC","CH4",1,2033,0
"Atlantis_00A","NGCC","CH4",1,2034,0
"Atlantis_00A","NGCC","CH4",1,2035,0
"Atlantis_00A","NGCC","CH4",1,2036,0
"Atlantis_00A","NGCC","CH4",1,2037,0
"Atlantis_00A","NGCC","CH4",1,2038,0
"Atlantis_00A","NGCC","CH4",1,2039,0
"Atlantis_00A","NGCC","CH4",1,2040,0
"Atlantis_00A","NGCC","CH4",1,2041,0
"Atlantis_00A","NGCC","CH4",1,2042,0
"Atlantis_00A","NGCC","CH4",1,2043,0
